1,100,2,1,0
2,100,12,2,0
3,100,13,2,0
6,100,16,2,0
7,100,17,2,0
8,100,7,0,1
11,100,12,2,1
13,100,23,3,0
16,100,26,3,0
18,100,17,1,2
18,101,19,2,1
21,100,22,2,1
22,100,23,2,1
23,100,100,4,0
26,100,25,1,2
27,100,26,1,2
28,100,27,1,2
28,101,29,2,1
31,100,32,2,1
32,100,22,0,3
33,100,23,0,3
36,100,26,0,3
37,100,27,0,3
38,100,37,1,2
38,101,39,2,1
41,100,42,2,1
42,100,32,0,3
43,100,33,0,3
46,100,36,0,3
47,100,37,0,3
48,100,47,1,2
48,101,49,2,1
51,100,52,2,1
52,100,42,0,3
53,100,43,0,3
56,100,46,0,3
57,100,47,0,3
58,100,57,1,2
58,101,59,2,1
61,100,62,2,1
63,100,53,0,3
66,100,56,0,3
68,100,69,2,1
68,101,69,2,1
71,100,72,2,1
72,100,82,3,0
73,100,83,3,0
76,100,86,3,0
77,100,87,3,0
78,100,79,2,1
78,101,79,2,1
81,100,82,2,1
82,100,92,3,0
83,100,93,3,0
86,100,96,3,0
87,100,97,3,0
88,100,89,2,1
88,101,89,2,1
91,100,92,2,1
92,100,2,3,3
93,100,3,3,3
96,100,6,3,3
97,100,7,3,3
98,100,99,2,1
98,101,99,2,1
100,101,23,0,4
